,ARR_Airline,AC_TYPE,STA_Weekday,STA_time_of_the_day,STA_Month,Registration,Arr_Stand
4516,JU,AT7,2,435,2,YUALT,C8
4517,SU,32A,1,1415,2,VPBNL,A2
4518,JU,AT7,2,415,2,YUALO,C9
4519,JU,AT7,2,430,2,YUALV,C10
4520,JU,319,1,1420,2,YUAPC,A3
4521,JU,319,2,395,2,YUAPF,C2
4522,JU,319,2,610,2,YUAPA,C1
4523,JU,319,2,400,2,YUAPD,C6
4524,JU,319,2,395,2,YUAPJ,C4
4525,WZZ,32A,3,1095,2,HALYP,A9
4526,LH,319,2,410,2,DAILI,A1
4527,WZZ,32A,2,735,2,HALYR,A7
4528,EY,32A,2,735,2,A6EIT,C3
4529,JU,319,2,410,2,YUAPC,A5
4530,TK,73H,2,540,2,TCJFL,A1
4531,YM,E95,2,535,2,4OAOA,A4
4532,YM,E95,2,535,2,4OAOC,A3
4533,RO,AT5,2,560,2,YRATF,C5
4534,JU,AT7,2,805,2,YUALO,C7
4535,AUSTRI,H25B,2,1140,2,OEGCE,A12-4
4536,QR,321,2,700,2,A7ADT,A1
4537,JU,AT7,2,795,2,YUALV,C8
